,activity_type,acc_x,acc_y,acc_z
264,Still,997,-24,37
265,Still,996,-25,37
266,Still,996,-25,37
267,Still,996,-24,38
268,Still,996,-23,38
269,Still,996,-24,37
270,Still,996,-24,37
271,Still,996,-24,38
272,Still,997,-24,38
273,Still,996,-24,38
274,Still,996,-24,38
275,Still,996,-24,38
276,Still,996,-25,37
277,Still,996,-24,38
278,Still,996,-25,38
279,Still,996,-25,38
280,Still,996,-24,37
281,Still,996,-25,38
282,Still,996,-24,37
283,Still,996,-24,38
284,Still,996,-24,38
285,Still,996,-24,37
286,Still,996,-24,37
287,Still,996,-24,37
288,Still,996,-24,37
289,Still,996,-24,38
290,Still,996,-24,37
291,Still,996,-24,37
292,Still,996,-24,37
293,Still,996,-24,37
294,Still,997,-24,37
295,Still,996,-24,37
296,Still,996,-24,37
297,Still,996,-24,37
298,Still,996,-24,37
299,Still,997,-24,38
300,Still,997,-25,37
301,Still,997,-25,37
302,Still,997,-25,38
303,Still,996,-24,37
304,Still,996,-25,38
305,Still,997,-24,38
306,Still,997,-24,38
307,Still,996,-24,37
308,Still,997,-24,37
309,Still,997,-24,38
310,Still,997,-24,38
311,Still,997,-24,37
312,Still,997,-24,37
313,Still,996,-24,37
314,Still,997,-24,37
315,Still,997,-24,37
316,Still,996,-24,38
317,Still,996,-25,38
318,Still,996,-24,38
319,Still,996,-24,38
320,Still,996,-24,38
321,Still,996,-24,37
322,Still,998,-25,38
323,Still,995,-24,36
324,Still,995,-24,36
325,Still,997,-25,37
326,Still,997,-24,37
327,Still,995,-24,38
328,Still,995,-24,38
329,Still,998,-25,38
330,Still,996,-24,37
331,Still,996,-25,37
332,Still,996,-25,37
333,Still,996,-24,38
334,Still,995,-24,37
335,Still,997,-25,37
336,Still,998,-25,38
337,Still,998,-25,38
338,Still,996,-25,38
339,Still,996,-24,37
340,Still,996,-25,37
341,Still,996,-25,37
342,Still,997,-24,37
343,Still,995,-24,37
344,Still,998,-25,37
345,Still,995,-24,37
346,Still,995,-24,37
347,Still,996,-24,37
348,Still,995,-25,37
349,Still,998,-24,37
350,Still,998,-24,37
351,Still,996,-25,38
352,Still,997,-25,37
353,Still,997,-24,38
354,Still,995,-24,38
355,Still,995,-24,38
356,Still,997,-24,37
357,Still,997,-25,38
358,Still,997,-24,37
359,Still,997,-24,37
360,Still,996,-24,38
361,Still,996,-24,38
362,Still,996,-24,37
363,Still,996,-24,37
364,Still,996,-24,37
365,Still,997,-25,38
366,Still,995,-24,38
367,Still,996,-25,37
368,Still,996,-25,37
369,Still,999,-23,36
370,Still,994,-23,39
371,Still,997,-26,36
372,Still,998,-24,39
373,Still,998,-24,39
374,Still,996,-22,37
375,Still,995,-25,38
376,Still,996,-24,36
377,Still,996,-24,36
378,Still,996,-24,38
379,Still,998,-24,37
380,Still,996,-24,37
381,Still,996,-24,37
382,Still,998,-25,39
383,Still,996,-26,35
384,Still,997,-22,38
385,Still,994,-24,40
386,Still,994,-24,40
387,Still,995,-23,38
388,Still,998,-25,37
389,Still,997,-25,37
390,Still,997,-25,37
391,Still,995,-24,38
392,Still,998,-25,37
393,Still,995,-24,36
394,Still,999,-24,37
395,Still,999,-24,37
396,Still,995,-24,38
397,Still,996,-24,39
398,Still,997,-24,37
399,Still,997,-24,37
400,Still,996,-25,37
401,Still,996,-24,38
402,Still,994,-24,38
403,Still,997,-25,37
404,Still,997,-25,37
405,Still,996,-25,37
406,Still,996,-24,39
407,Still,997,-25,38
408,Still,997,-25,38
409,Still,995,-25,38
410,Still,996,-24,38
411,Still,997,-24,38
412,Still,996,-24,38
413,Still,996,-24,38
414,Still,997,-25,37
415,Still,996,-24,37
416,Still,996,-24,38
417,Still,996,-24,38
418,Still,997,-24,38
419,Still,995,-24,37
420,Still,997,-24,36
421,Still,997,-24,36
422,Still,997,-24,37
423,Still,997,-25,38
424,Still,997,-24,37
425,Still,995,-24,37
426,Still,995,-24,37
427,Still,1000,-25,38
428,Still,993,-24,37
429,Still,999,-24,38
430,Still,999,-24,38
431,Still,1001,-25,37
432,Still,999,-25,35
433,Still,1003,-26,35
434,Still,986,-21,40
435,Still,986,-21,40
436,Still,995,-24,40
437,Still,996,-24,35
438,Still,991,-23,37
439,Still,991,-23,37
440,Still,997,-23,39
441,Still,993,-22,40
442,Still,998,-25,37
443,Still,996,-24,34
444,Still,996,-24,34
445,Still,996,-24,37
446,Still,997,-22,40
447,Still,995,-23,38
448,Still,995,-23,38
449,Still,999,-25,34
450,Still,995,-23,36
451,Still,996,-23,40
452,Still,995,-23,37
453,Still,995,-23,37
454,Still,996,-24,36
455,Still,997,-24,37
456,Still,995,-23,37
457,Still,995,-23,37
458,Still,997,-23,38
459,Still,996,-23,37
460,Still,997,-24,36
461,Still,997,-24,36
462,Still,996,-24,38
463,Still,996,-22,38
464,Still,997,-24,37
465,Still,996,-24,36
466,Still,996,-24,36
467,Still,997,-23,37
468,Still,996,-23,39
469,Still,997,-24,38
470,Still,997,-24,38
471,Still,996,-23,37
472,Still,996,-24,37
473,Still,997,-23,37
474,Still,996,-24,38
